ascon,13815,0
hybrid_r64,2391,12
tinyjambu,1671,0
xoodyak,4007,752
giftcofb,3447,40
grain,4343,16
sparkle,5575,288
elephant,2887,6
isap,3127,279
photonbeetle,3415,194
romulus,3975,352
