ascon,15569,552,8
hybrid_r64,4322,560,8
tinyjambu,3842,576,8
xoodyak,9520,688,8
giftcofb,5794,576,8
grain,8306,696,8
sparkle,10382,696,8
elephant,6975,1736,8
isap,7065,672,8
photonbeetle,7695,712,24
romulus,10095,804,4
